epoch,hidden_channels,out_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,eps,gamma,step_size,aggr,end,num_head,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,pca_threshold,train_loss,train_acc,train_f1,train_balanced_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_balanced_acc
1,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6942, grad_fn=<NllLossBackward0>)",0.6190838354882116,0.7554645834898219,0.4804027330522825,tensor(0.6941),0.6125493637560333,0.8928451461202553,0.6475030450669915,0.7506354137249365,0.4716543922906702
2,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6927, grad_fn=<NllLossBackward0>)",0.5262680629497455,0.6665980442614514,0.5266933351549115,tensor(0.6927),0.5195261079420799,0.9072735006380264,0.5196102314250913,0.6607806691449815,0.5191870141672918
3,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6913, grad_fn=<NllLossBackward0>)",0.4444509448312174,0.5718279375958156,0.5737588468953382,tensor(0.6914),0.4372531812198332,0.931131019036954,0.405115712545676,0.5645900526226447,0.5667962668688644
4,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6900, grad_fn=<NllLossBackward0>)",0.4073304861639267,0.5189810308397237,0.6159862799390202,tensor(0.6901),0.4021500658183414,0.9551451187335092,0.3527405602923264,0.5152108165806796,0.6013150925081941
5,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6886, grad_fn=<NllLossBackward0>)",0.4136781138477739,0.52353332699439,0.6370786997889455,tensor(0.6888),0.4124616059675296,0.968483256730138,0.3593179049939098,0.5241648898365316,0.6266788200466238
6,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6871, grad_fn=<NllLossBackward0>)",0.4499210203007079,0.5657545318092599,0.6573420668874379,tensor(0.6874),0.4433962264150943,0.972289156626506,0.3931790499390986,0.5599306157849089,0.645816898037982
7,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6855, grad_fn=<NllLossBackward0>)",0.4995904756333001,0.6204433005702115,0.6805097824837751,tensor(0.6858),0.4991224221149627,0.9734927234927236,0.456272838002436,0.6213302371869298,0.6718450282727412
8,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6838, grad_fn=<NllLossBackward0>)",0.5521558532732698,0.6741859970206426,0.7017729562615735,tensor(0.6841),0.5535322509872751,0.975206611570248,0.5174177831912302,0.6761101384688842,0.6991062425889926
9,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6817, grad_fn=<NllLossBackward0>)",0.6027028608202188,0.7218057433124411,0.7230859919368526,tensor(0.6821),0.6044317683194383,0.9756198347107438,0.5751522533495736,0.7236781609195402,0.7224547138712548
10,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6795, grad_fn=<NllLossBackward0>)",0.649330135143041,0.7627735781849844,0.7413107390406575,tensor(0.6799),0.6531373409390083,0.9751506024096386,0.630937880633374,0.7661588522407928,0.7426212581974817
11,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6769, grad_fn=<NllLossBackward0>)",0.6889954952319663,0.79551486710005,0.7565789258371585,tensor(0.6775),0.6959192628345766,0.9751835022719328,0.679658952496955,0.8010335917312662,0.7614630303323626
12,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6741, grad_fn=<NllLossBackward0>)",0.7210261510559879,0.8206555465708859,0.7686469320995313,tensor(0.6747),0.7288284335234753,0.975157336866512,0.7171741778319123,0.8265019651880966,0.7758056319623138
13,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6709, grad_fn=<NllLossBackward0>)",0.7460071374246767,0.8394920235872599,0.7782301109919558,tensor(0.6715),0.7566915313734094,0.9749524413443248,0.7490864799025578,0.8472241355558617,0.7873467719601089
14,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6673, grad_fn=<NllLossBackward0>)",0.7648452582928684,0.8532573973677966,0.7859623203506563,tensor(0.6681),0.7777534006143045,0.974524248004911,0.7734470158343484,0.8624202091538775,0.7951120288884765
