epoch,hidden_channels,out_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,eps,gamma,step_size,aggr,end,num_head,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,pca_threshold,train_loss,train_acc,train_f1,train_balanced_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_balanced_acc
1,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6885, grad_fn=<NllLossBackward0>)",0.7994793190194817,0.8846445098864114,0.5802236164821875,tensor(0.6886),0.798376480912681,0.9172341540073335,0.8531059683313033,0.8840085826075982,0.5777671122009718
2,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6806, grad_fn=<NllLossBackward0>)",0.7454513543555842,0.8426685951907431,0.6977671840405395,tensor(0.6809),0.7472575691092584,0.9497410904660372,0.7595615103532277,0.8440714672441797,0.6976615498786006
3,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6721, grad_fn=<NllLossBackward0>)",0.7481425144796116,0.8429348024371557,0.7372573121269158,tensor(0.6727),0.7426502852128126,0.9592731829573936,0.7459196102314251,0.8392490064410032,0.7294719463960657
4,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6625, grad_fn=<NllLossBackward0>)",0.7760194231556777,0.8624548671612567,0.7593793168929559,tensor(0.6633),0.775340061430452,0.963587120072224,0.7800243605359318,0.8621432417878299,0.7564580963827562
5,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6518, grad_fn=<NllLossBackward0>)",0.8032235418007372,0.881150509708309,0.7743613186602419,tensor(0.6529),0.8027643703378675,0.964907192575406,0.8104750304506699,0.8809744472395075,0.7716834313401253
6,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6399, grad_fn=<NllLossBackward0>)",0.8222371731118001,0.8938459657274617,0.7851837954636615,tensor(0.6412),0.8260201842913558,0.9649073554183044,0.8372716199756395,0.8965697143602452,0.7806667150650825
7,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6267, grad_fn=<NllLossBackward0>)",0.8329725618674311,0.9008680555555556,0.7920582393812521,tensor(0.6283),0.8332602018429136,0.965229485396384,0.8453105968331304,0.9012987012987012,0.7846862034938279
8,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6122, grad_fn=<NllLossBackward0>)",0.8373895746796934,0.9036384752725825,0.798545661358466,tensor(0.6142),0.8365511189118034,0.9661487236403996,0.8482338611449451,0.9033597094305358,0.7894590939278809
9,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5965, grad_fn=<NllLossBackward0>)",0.8357514772128942,0.9024411432542784,0.8027103808646001,tensor(0.5990),0.8356735410267662,0.9684533780011167,0.8450669914738125,0.902562768310134,0.7978094339267516
10,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5796, grad_fn=<NllLossBackward0>)",0.8300766395600538,0.8985522432371073,0.8060639811580823,tensor(0.5828),0.8321632294866169,0.9704225352112676,0.8392204628501827,0.9000653167864141,0.803716191689992
